postcode,binInfo_bin_type,collection_time
3231,landfill,Every Friday
3231,landfill,Every Friday
3232,landfill,Every Friday
3232,landfill,Every Friday
3444,landfill,Every Thursday
3444,landfill,Every Wednesday
3448,landfill,Every Wednesday
3453,landfill,Every Friday
3453,landfill,Every Wednesday
3463,landfill,Every Friday
3515,landfill,Every Friday
3515,landfill,Every Monday
3516,landfill,Every Monday
3522,landfill,Every Tuesday
3523,landfill,Every Thursday
3523,landfill,Every Tuesday
3523,landfill,Every Wednesday
3550,landfill,Every Friday
3550,landfill,Every Monday
3550,landfill,Every Thursday
3550,landfill,Every Tuesday
3550,landfill,Every Wednesday
3550,landfill,Every Wednesday
3551,landfill,Every Friday
3551,landfill,Every Friday
3551,landfill,Every Monday
3551,landfill,Every Monday
3551,landfill,Every Thursday
3551,landfill,Every Thursday
3551,landfill,Every Tuesday
3551,landfill,Every Tuesday
3551,landfill,Every Wednesday
3551,landfill,Every Wednesday
3552,landfill,Every Thursday
3555,landfill,Every Friday
3555,landfill,Every Friday
3555,landfill,Every Monday
3555,landfill,Every Tuesday
3555,landfill,Every Wednesday
3555,landfill,Every Wednesday
3556,landfill,Every Monday
3556,landfill,Every Thursday
3556,landfill,Every Thursday
3556,landfill,Every Tuesday
3556,landfill,Every Wednesday
3557,landfill,Every Tuesday
3557,landfill,Every Wednesday
3558,landfill,Every Wednesday
3558,landfill,Every Wednesday
3559,landfill,Every Wednesday
3561,landfill,Every Wednesday
3570,landfill,Every Monday
3570,landfill,Every Wednesday
3571,landfill,Every Wednesday
3572,landfill,Every Wednesday
3662,landfill,Every Tuesday
3231,recyclable,Every Second Friday
3231,recyclable,Every Second Friday
3232,recyclable,Every Second Friday
3232,recyclable,Every Second Friday
3444,recyclable,Every Second Thursday
3444,recyclable,Every Second Wednesday
3448,recyclable,Every Second Wednesday
3453,recyclable,Every Second Friday
3453,recyclable,Every Second Wednesday
3463,recyclable,Every Second Friday
3515,recyclable,Every Second Friday
3515,recyclable,Every Second Monday
3516,recyclable,Every Second Monday
3522,recyclable,Every Second Tuesday
3523,recyclable,Every Second Thursday
3523,recyclable,Every Second Tuesday
3523,recyclable,Every Second Wednesday
3550,recyclable,Every Second Friday
3550,recyclable,Every Second Monday
3550,recyclable,Every Second Thursday
3550,recyclable,Every Second Tuesday
3550,recyclable,Every Second Wednesday
3550,recyclable,Every Second Wednesday
3551,recyclable,Every Second Friday
3551,recyclable,Every Second Friday
3551,recyclable,Every Second Monday
3551,recyclable,Every Second Monday
3551,recyclable,Every Second Thursday
3551,recyclable,Every Second Thursday
3551,recyclable,Every Second Tuesday
3551,recyclable,Every Second Tuesday
3551,recyclable,Every Second Wednesday
3551,recyclable,Every Second Wednesday
3552,recyclable,Every Second Thursday
3555,recyclable,Every Second Friday
3555,recyclable,Every Second Friday
3555,recyclable,Every Second Monday
3555,recyclable,Every Second Tuesday
3555,recyclable,Every Second Wednesday
3555,recyclable,Every Second Wednesday
3556,recyclable,Every Second Monday
3556,recyclable,Every Second Thursday
3556,recyclable,Every Second Thursday
3556,recyclable,Every Second Tuesday
3556,recyclable,Every Second Wednesday
3557,recyclable,Every Second Tuesday
3557,recyclable,Every Second Wednesday
3558,recyclable,Every Second Wednesday
3558,recyclable,Every Second Wednesday
3559,recyclable,Every Second Wednesday
3561,recyclable,Every Second Wednesday
3570,recyclable,Every Second Monday
3570,recyclable,Every Second Wednesday
3571,recyclable,Every Second Wednesday
3572,recyclable,Every Second Wednesday
3662,recyclable,Every Second Tuesday
3231,organics,Every Second Friday
3232,organics,Every Second Friday
3550,organics,Every Second Friday
3550,organics,Every Second Monday
3550,organics,Every Second Thursday
3550,organics,Every Second Tuesday
3550,organics,Every Second Wednesday
3551,organics,Every Second Friday
3551,organics,Every Second Monday
3551,organics,Every Second Thursday
3551,organics,Every Second Tuesday
3551,organics,Every Second Wednesday
3552,organics,Every Second Thursday
3555,organics,Every Second Friday
3555,organics,Every Second Monday
3555,organics,Every Second Tuesday
3555,organics,Every Second Wednesday
3556,organics,Every Second Thursday
3556,organics,Every Second Tuesday
3556,organics,Every Second Wednesday
3558,organics,Every Second Wednesday
