postcode,binInfo_bin_type,collection_time
3213,landfill,Every Second Thursday
3214,landfill,Every Second Friday
3215,landfill,Every Second Friday
3216,landfill,Every Second Tuesday
3216,landfill,Every Second Wednesday
3217,landfill,Every Second Tuesday
3217,landfill,Every Second Wednesday
3218,landfill,Every Second Thursday
3218,landfill,Every Second Wednesday
3221,landfill,Every Second Thursday
3221,landfill,Every Second Wednesday
3222,landfill,Every Second Monday
3222,landfill,Every Second Tuesday
3225,landfill,Every Second Monday
3227,landfill,Every Second Tuesday
3240,landfill,Every Second Wednesday
3213,recyclable,Every Second Thursday
3214,recyclable,Every Second Friday
3215,recyclable,Every Second Friday
3216,recyclable,Every Second Tuesday
3216,recyclable,Every Second Wednesday
3217,recyclable,Every Second Tuesday
3217,recyclable,Every Second Wednesday
3218,recyclable,Every Second Thursday
3218,recyclable,Every Second Wednesday
3221,recyclable,Every Second Thursday
3221,recyclable,Every Second Wednesday
3222,recyclable,Every Second Monday
3222,recyclable,Every Second Tuesday
3225,recyclable,Every Second Monday
3227,recyclable,Every Second Tuesday
3240,recyclable,Every Second Wednesday
3213,organics,Every Second Thursday
3214,organics,Every Second Friday
3215,organics,Every Second Friday
3216,organics,Every Second Tuesday
3216,organics,Every Second Wednesday
3217,organics,Every Second Tuesday
3217,organics,Every Second Wednesday
3218,organics,Every Second Thursday
3218,organics,Every Second Wednesday
3221,organics,Every Second Thursday
3221,organics,Every Second Wednesday
3222,organics,Every Second Monday
3222,organics,Every Second Tuesday
3225,organics,Every Second Monday
3227,organics,Every Second Tuesday
3240,organics,Every Second Wednesday
