postcode,binInfo_bin_type,collection_time
3000,landfill,Every Thursday
3001,landfill,Every Thursday
3002,landfill,Every Friday
3003,landfill,Every Thursday
3004,landfill,Every Thursday
3006,landfill,Every Tuesday
3008,landfill,Every Thursday
3031,landfill,Every Monday
3032,landfill,Every Monday
3051,landfill,Every Monday
3052,landfill,Every Monday
3053,landfill,Every Friday
3054,landfill,Every Friday
3065,landfill,Every Friday
3205,landfill,Every Tuesday
3207,landfill,Every Tuesday
8001,landfill,Every Thursday
8002,landfill,Every Friday
8012,landfill,Every Thursday
8045,landfill,Every Thursday
8051,landfill,Every Thursday
8066,landfill,Every Thursday
8069,landfill,Every Thursday
8070,landfill,Every Thursday
8071,landfill,Every Thursday
8102,landfill,Every Thursday
8107,landfill,Every Thursday
8111,landfill,Every Thursday
8120,landfill,Every Thursday
8205,landfill,Every Thursday
3000,recyclable,Every Thursday
3001,recyclable,Every Thursday
3002,recyclable,Every Friday
3003,recyclable,Every Thursday
3004,recyclable,Every Thursday
3006,recyclable,Every Tuesday
3008,recyclable,Every Thursday
3031,recyclable,Every Monday
3032,recyclable,Every Monday
3051,recyclable,Every Monday
3052,recyclable,Every Monday
3053,recyclable,Every Friday
3054,recyclable,Every Friday
3065,recyclable,Every Friday
3205,recyclable,Every Tuesday
3207,recyclable,Every Tuesday
8001,recyclable,Every Thursday
8002,recyclable,Every Friday
8012,recyclable,Every Thursday
8045,recyclable,Every Thursday
8051,recyclable,Every Thursday
8066,recyclable,Every Thursday
8069,recyclable,Every Thursday
8070,recyclable,Every Thursday
8071,recyclable,Every Thursday
8102,recyclable,Every Thursday
8107,recyclable,Every Thursday
8111,recyclable,Every Thursday
8120,recyclable,Every Thursday
8205,recyclable,Every Thursday
