postcode,binInfo_bin_type,collection_time
3629,landfill,Every Friday
3630,landfill,Every Tuesday
3631,landfill,Every Friday
3634,landfill,Every Friday
3635,landfill,Every Friday
3636,landfill,Every Friday
3646,landfill,Every Friday
3666,landfill,Every Tuesday
3669,landfill,Every Tuesday
3673,landfill,Every Tuesday
3725,landfill,Every Tuesday
3727,landfill,Every Tuesday
3629,recyclable,Every Second Friday
3630,recyclable,Every Second Tuesday
3631,recyclable,Every Second Friday
3634,recyclable,Every Second Friday
3635,recyclable,Every Second Friday
3636,recyclable,Every Second Friday
3646,recyclable,Every Second Friday
3666,recyclable,Every Second Tuesday
3669,recyclable,Every Second Tuesday
3673,recyclable,Every Second Tuesday
3725,recyclable,Every Second Tuesday
3727,recyclable,Every Second Tuesday
3629,organics,Every Second Friday
3630,organics,Every Second Tuesday
3631,organics,Every Second Friday
3634,organics,Every Second Friday
3635,organics,Every Second Friday
3636,organics,Every Second Friday
3646,organics,Every Second Friday
3666,organics,Every Second Tuesday
3669,organics,Every Second Tuesday
3673,organics,Every Second Tuesday
3725,organics,Every Second Tuesday
3727,organics,Every Second Tuesday
