postcode,binInfo_bin_type,collection_time
3688,landfill,Every Second Friday
3689,landfill,Every Second Friday
3690,landfill,Every Second Friday
3691,landfill,Every Second Monday
3695,landfill,Every Second Wednesday
3688,recyclable,Every Second Friday
3689,recyclable,Every Second Friday
3690,recyclable,Every Second Friday
3691,recyclable,Every Second Monday
3695,recyclable,Every Second Wednesday
3688,organics,Every Friday
3689,organics,Every Friday
3690,organics,Every Friday
3691,organics,Every Monday
3695,organics,Every Wednesday
