postcode,binInfo_bin_type,collection_time
3116,landfill,Every Thursday
3136,landfill,Every Thursday
3137,landfill,Every Monday
3138,landfill,Every Wednesday
3139,landfill,Every Friday
3153,landfill,Every Monday
3154,landfill,Every Monday
3156,landfill,Every Monday
3158,landfill,Every Monday
3159,landfill,Every Friday
3160,landfill,Every Friday
3713,landfill,Every Wednesday
3723,landfill,Every Wednesday
3763,landfill,Every Monday
3765,landfill,Every Monday
3767,landfill,Every Monday
3770,landfill,Every Friday
3775,landfill,Every Monday
3777,landfill,Every Friday
3779,landfill,Every Wednesday
3781,landfill,Every Friday
3782,landfill,Every Friday
3783,landfill,Every Friday
3785,landfill,Every Monday
3786,landfill,Every Friday
3787,landfill,Every Monday
3788,landfill,Every Monday
3789,landfill,Every Friday
3791,landfill,Every Friday
3792,landfill,Every Friday
3793,landfill,Every Monday
3795,landfill,Every Thursday
3797,landfill,Every Thursday
3799,landfill,Every Friday
3833,landfill,Every Wednesday
