postcode,binInfo_bin_type,collection_time
3064,landfill,Every Thursday
3430,landfill,Every Thursday
3521,landfill,Every Monday
3522,landfill,Every Monday
3658,landfill,Every Monday
3658,landfill,Every Thursday
3658,landfill,Every Tuesday
3659,landfill,Every Monday
3660,landfill,Every Monday
3662,landfill,Every Monday
3753,landfill,Every Thursday
3756,landfill,Every Friday
3756,landfill,Every Thursday
3758,landfill,Every Friday
3758,landfill,Every Thursday
3758,landfill,Every Tuesday
3762,landfill,Every Thursday
3764,landfill,Every Monday
3764,landfill,Every Thursday
3764,landfill,Every Wednesday
3895,landfill,Every Tuesday
3064,recyclable,Every Second Thursday
3430,recyclable,Every Second Thursday
3521,recyclable,Every Second Monday
3522,recyclable,Every Second Monday
3658,recyclable,Every Second Monday
3658,recyclable,Every Second Thursday
3658,recyclable,Every Second Tuesday
3659,recyclable,Every Second Monday
3660,recyclable,Every Second Monday
3662,recyclable,Every Second Monday
3753,recyclable,Every Second Thursday
3756,recyclable,Every Second Friday
3756,recyclable,Every Second Thursday
3758,recyclable,Every Second Friday
3758,recyclable,Every Second Thursday
3758,recyclable,Every Second Tuesday
3762,recyclable,Every Second Thursday
3764,recyclable,Every Second Monday
3764,recyclable,Every Second Thursday
3764,recyclable,Every Second Wednesday
3895,recyclable,Every Second Tuesday
