postcode,binInfo_bin_type,collection_time
3000,landfill,Every Thursday
3001,landfill,Every Thursday
3004,landfill,Every Thursday
3006,landfill,Every Monday
3143,landfill,Every Tuesday
3161,landfill,Every Tuesday
3181,landfill,Every Thursday
3182,landfill,Every Thursday
3183,landfill,Every Tuesday
3184,landfill,Every Wednesday
3185,landfill,Every Wednesday
3186,landfill,Every Wednesday
3205,landfill,Every Friday
3207,landfill,Every Friday
8001,landfill,Every Thursday
8045,landfill,Every Thursday
8051,landfill,Every Thursday
8066,landfill,Every Thursday
8069,landfill,Every Thursday
8070,landfill,Every Thursday
8071,landfill,Every Thursday
8102,landfill,Every Thursday
8107,landfill,Every Thursday
8111,landfill,Every Thursday
8120,landfill,Every Thursday
8205,landfill,Every Thursday
3000,recyclable,Every Thursday
3001,recyclable,Every Thursday
3004,recyclable,Every Thursday
3006,recyclable,Every Monday
3143,recyclable,Every Tuesday
3161,recyclable,Every Tuesday
3181,recyclable,Every Thursday
3182,recyclable,Every Thursday
3183,recyclable,Every Tuesday
3184,recyclable,Every Wednesday
3185,recyclable,Every Wednesday
3186,recyclable,Every Wednesday
3205,recyclable,Every Friday
3207,recyclable,Every Friday
8001,recyclable,Every Thursday
8045,recyclable,Every Thursday
8051,recyclable,Every Thursday
8066,recyclable,Every Thursday
8069,recyclable,Every Thursday
8070,recyclable,Every Thursday
8071,recyclable,Every Thursday
8102,recyclable,Every Thursday
8107,recyclable,Every Thursday
8111,recyclable,Every Thursday
8120,recyclable,Every Thursday
8205,recyclable,Every Thursday
