postcode,binInfo_bin_type,collection_time
3523,landfill,Every Second Thursday
3559,landfill,Every Second Thursday
3607,landfill,Every Second Thursday
3608,landfill,Every Second Thursday
3610,landfill,Every Second Thursday
3612,landfill,Every Second Thursday
3630,landfill,Every Second Tuesday
3631,landfill,Every Second Thursday
3646,landfill,Every Second Tuesday
3660,landfill,Every Second Thursday
3662,landfill,Every Second Thursday
3663,landfill,Every Second Thursday
3664,landfill,Every Second Thursday
3665,landfill,Every Second Thursday
3666,landfill,Every Second Monday
3669,landfill,Every Second Tuesday
3670,landfill,Every Second Tuesday
3673,landfill,Every Second Tuesday
3715,landfill,Every Second Tuesday
3719,landfill,Every Second Thursday
3720,landfill,Every Second Tuesday
3725,landfill,Every Second Tuesday
3523,recyclable,Every Second Thursday
3559,recyclable,Every Second Thursday
3607,recyclable,Every Second Thursday
3608,recyclable,Every Second Thursday
3610,recyclable,Every Second Thursday
3612,recyclable,Every Second Thursday
3630,recyclable,Every Second Tuesday
3631,recyclable,Every Second Thursday
3646,recyclable,Every Second Tuesday
3660,recyclable,Every Second Thursday
3662,recyclable,Every Second Thursday
3663,recyclable,Every Second Thursday
3664,recyclable,Every Second Thursday
3665,recyclable,Every Second Thursday
3666,recyclable,Every Second Monday
3669,recyclable,Every Second Tuesday
3670,recyclable,Every Second Tuesday
3673,recyclable,Every Second Tuesday
3715,recyclable,Every Second Tuesday
3719,recyclable,Every Second Thursday
3720,recyclable,Every Second Tuesday
3725,recyclable,Every Second Tuesday
3523,organics,Every Thursday
3559,organics,Every Thursday
3607,organics,Every Thursday
3608,organics,Every Thursday
3610,organics,Every Thursday
3612,organics,Every Thursday
3630,organics,Every Tuesday
3631,organics,Every Thursday
3646,organics,Every Tuesday
3660,organics,Every Thursday
3662,organics,Every Thursday
3663,organics,Every Thursday
3664,organics,Every Thursday
3665,organics,Every Thursday
3666,organics,Every Monday
3669,organics,Every Tuesday
3670,organics,Every Tuesday
3673,organics,Every Tuesday
3715,organics,Every Tuesday
3719,organics,Every Thursday
3720,organics,Every Tuesday
3725,organics,Every Tuesday
