postcode,binInfo_bin_type,collection_time
3673,landfill,Every Second Monday
3675,landfill,Every Second Monday
3676,landfill,Every Second Friday
3677,landfill,Every Second Friday
3678,landfill,Every Second Friday
3682,landfill,Every Second Monday
3683,landfill,Every Second Wednesday
3685,landfill,Every Second Monday
3723,landfill,Every Second Tuesday
3728,landfill,Every Second Monday
3730,landfill,Every Second Monday
3732,landfill,Every Second Tuesday
3735,landfill,Every Second Tuesday
3737,landfill,Every Second Tuesday
3746,landfill,Every Second Wednesday
3747,landfill,Every Second Tuesday
3673,recyclable,Every Second Monday
3675,recyclable,Every Second Monday
3676,recyclable,Every Second Friday
3677,recyclable,Every Second Friday
3678,recyclable,Every Second Friday
3682,recyclable,Every Second Monday
3683,recyclable,Every Second Wednesday
3685,recyclable,Every Second Monday
3723,recyclable,Every Second Tuesday
3728,recyclable,Every Second Monday
3730,recyclable,Every Second Monday
3732,recyclable,Every Second Tuesday
3735,recyclable,Every Second Tuesday
3737,recyclable,Every Second Tuesday
3746,recyclable,Every Second Wednesday
3747,recyclable,Every Second Tuesday
