postcode,locality,lat,long
3960,BENNISON,-39.140761,146.360412
3960,BOOLARONG,-39.140761,146.360412
3960,FOSTER,-39.140761,146.360412
3960,FOSTER NORTH,-39.140761,146.360412
3960,GUNYAH,-39.140761,146.360412
3960,MOUNT BEST,-39.140761,146.360412
3960,RUMBUG,-39.140761,146.360412
3960,SHALLOW INLET,-39.140761,146.360412
3960,TIDAL RIVER,-39.140761,146.360412
3960,TURTONS CREEK,-39.140761,146.360412
3960,WILSONS PROMONTORY,-39.140761,146.360412
3960,WONGA,-39.140761,146.360412
3960,WOORARRA WEST,-39.140761,146.360412
3960,YANAKIE,-39.140761,146.360412
3956,WALKERVILLE NORTH,-38.84261489,145.9993437
3238,GLENAIRE,-38.781787,143.429978
3238,HORDERN VALE,-38.781787,143.429978
3238,JOHANNA,-38.781787,143.429978
3238,LAVERS HILL,-38.781787,143.429978
3956,TARWIN LOWER,-38.77338675,145.9119412
3971,SNAKE ISLAND,-38.74476124,146.5237607
3959,FISH CREEK,-38.734636,146.066529
3959,HODDLE,-38.734636,146.066529
3959,SANDY POINT,-38.734636,146.066529
3959,WARATAH BAY,-38.734636,146.066529
3959,WARATAH NORTH,-38.734636,146.066529
3237,AIRE VALLEY,-38.716838,143.474392
3237,BEECH FOREST,-38.716838,143.474392
3237,FERGUSON,-38.716838,143.474392
3237,GELLIBRAND LOWER,-38.716838,143.474392
3237,WATTLE HILL,-38.716838,143.474392
3237,WEEAPROINAH,-38.716838,143.474392
3237,WYELANGTA,-38.716838,143.474392
3237,YUULONG,-38.716838,143.474392
3965,PORT WELSHPOOL,-38.693437,146.472132
3234,SUGARLOAF,-38.69,143.7961
3964,PORT FRANKLIN,-38.685115,146.278804
3233,APOLLO BAY,-38.679417,143.671777
3233,CAPE OTWAY,-38.679417,143.671777
3233,MARENGO,-38.679417,143.671777
3233,PETTICOAT CREEK,-38.679417,143.671777
3233,SKENES CREEK,-38.679417,143.671777
3233,SKENES CREEK NORTH,-38.679417,143.671777
3234,GREY RIVER,-38.6791182,143.832394
3234,WONGARRA,-38.6747,143.7986
3958,BUFFALO,-38.673841,145.987059
3958,BUFFALO CREEK,-38.673841,145.987059
3956,MIDDLE TARWIN,-38.66471384,145.927163
3269,PORT CAMPBELL,-38.660637,143.177116
3269,PRINCETOWN,-38.660637,143.177116
3269,WAARRE,-38.660637,143.177116
3967,HEDLEY,-38.647562,146.507929
3234,KENNETT RIVER,-38.63847255,143.8049086
3971,ALBERTON,-38.631942,146.815723
3971,ALBERTON WEST,-38.631942,146.815723
3971,BALOOK,-38.631942,146.815723
3971,BAROMI,-38.631942,146.815723
3971,CALROSSIE,-38.631942,146.815723
3971,DEVON NORTH,-38.631942,146.815723
3971,GELLIONDALE,-38.631942,146.815723
3971,HIAWATHA,-38.631942,146.815723
3971,HUNTERSTON,-38.631942,146.815723
3971,JACK RIVER,-38.631942,146.815723
3971,LANGSBOROUGH,-38.631942,146.815723
3971,MACKS CREEK,-38.631942,146.815723
3971,MADALYA,-38.631942,146.815723
3971,MANNS BEACH,-38.631942,146.815723
3971,PORT ALBERT,-38.631942,146.815723
3971,ROBERTSONS BEACH,-38.631942,146.815723
3971,STACEYS BRIDGE,-38.631942,146.815723
3971,TARRA VALLEY,-38.631942,146.815723
3971,TARRAVILLE,-38.631942,146.815723
3971,WON WRON,-38.631942,146.815723
3971,YARRAM,-38.631942,146.815723
3966,BINGINWARRI,-38.630568,146.436583
3966,HAZEL PARK,-38.630568,146.436583
3966,WELSHPOOL,-38.630568,146.436583
3996,INVERLOCH,-38.629561,145.745609
3996,POUND CREEK,-38.629561,145.745609
3234,WYE RIVER,-38.62497369,143.8493949
3962,AGNES,-38.60357,146.359804
3962,GRAND RIDGE,-38.60357,146.359804
3962,TOORA,-38.60357,146.359804
3962,TOORA NORTH,-38.60357,146.359804
3962,WONYIP,-38.60357,146.359804
3962,WOORARRA,-38.60357,146.359804
3962,WOORARRA EAST,-38.60357,146.359804
3270,PETERBOROUGH,-38.602117,142.870164
3956,DUMBALK,-38.597018,145.955341
3956,DUMBALK NORTH,-38.597018,145.955341
3956,MEENIYAN,-38.597018,145.955341
3956,MIRBOO SOUTH,-38.597018,145.955341
3956,TARWIN,-38.597018,145.955341
3956,VENUS BAY,-38.597018,145.955341
3956,WALKERVILLE,-38.597018,145.955341
3956,WALKERVILLE SOUTH,-38.597018,145.955341
3957,GRASSY SPUR,-38.589302,146.126718
3957,STONY CREEK,-38.589302,146.126718
3234,SEPARATION CREEK,-38.58813123,143.8732037
3995,ANDERSON,-38.578071,145.630713
3995,ARCHIES CREEK,-38.578071,145.630713
3995,CAPE PATERSON,-38.578071,145.630713
3995,HARMERS HAVEN,-38.578071,145.630713
3995,HICKSBOROUGH,-38.578071,145.630713
3995,KILCUNDA,-38.578071,145.630713
3995,LANCE CREEK,-38.578071,145.630713
3995,NORTH WONTHAGGI,-38.578071,145.630713
3995,POWLETT RIVER,-38.578071,145.630713
3995,SOUTH DUDLEY,-38.578071,145.630713
3995,ST CLAIR,-38.578071,145.630713
3995,WATTLE BANK,-38.578071,145.630713
3995,WONTHAGGI,-38.578071,145.630713
3995,WOOLAMAI,-38.578071,145.630713
3992,BLACKWOOD FOREST,-38.569135,145.534315
3992,DALYSTON,-38.569135,145.534315
3992,RYANSTON,-38.569135,145.534315
3992,WEST CREEK,-38.569135,145.534315
3239,CARLISLE RIVER,-38.564014,143.448102
3239,CHAPPLE VALE,-38.564014,143.448102
3239,GELLIBRAND,-38.564014,143.448102
3239,KENNEDYS CREEK,-38.564014,143.448102
3954,KOONWARRA,-38.550379,145.937973
3232,BIG HILL,-38.544977,143.970167
3232,LORNE,-38.544977,143.970167
3268,AYRFORD,-38.535802,142.908911
3268,BRUCKNELL,-38.535802,142.908911
3268,COORIEMUNGLE,-38.535802,142.908911
3268,COWLEYS CREEK,-38.535802,142.908911
3268,CURDIE VALE,-38.535802,142.908911
